data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8774691,729,SUD16231,16231,"04 January 2022",2022,1,Protests,"Excessive force against protesters","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)","Police Forces of Sudan (2019-) General Intelligence Service; Military Forces of Sudan (2019-) Abu Tira; Military Forces of Sudan (2019-) Rapid Support Forces; Military Forces of Sudan (2019-)",1,16,"Northern Africa",Sudan,Khartoum,Bahri,,"Khartoum North",15.6365,32.5303,1,"Radio Dabanga; Sudan Tribune",International,"On 4 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Khartoum North (Bahri locality, Khartoum state), denouncing the military coup and calling for civilian government. Joint security forces (presumed police, military, Abu Tira, GIS and RSF forces) fired teargas canisters and live bullets to disperse the crowd. At least 50 people were injured and several others were arrested. [size=tens of thousands]",0,1642167835,SDN
8793702,729,SUD16233,16233,"04 January 2022",2022,1,Protests,"Excessive force against protesters","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)","Police Forces of Sudan (2019-) General Intelligence Service; Military Forces of Sudan (2019-) Abu Tira; Military Forces of Sudan (2019-) Rapid Support Forces; Military Forces of Sudan (2019-)",1,16,"Northern Africa",Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,"Radio Dabanga; Sudan Tribune",National,"On 4 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Omdurman (Khartoum state), denouncing the military coup and calling for civilian government. Security forces (presumed police, military, Abu Tira, GIS and RSF forces) fired teargas canisters and live bullets to disperse the crowd. At least 83 people were injured and several others were arrested. [size=tens of thousands]",0,1643045661,SDN
9197577,729,SUD16232,16232,"04 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"South Darfur","Nyala Janoub",,Nyala,12.0556,24.8906,1,"Sudan Tribune",National,"On 4 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Nyala (Nyala Janoub locality, South Darfur), denouncing the military coup and calling for civilian government. [size=no report]",0,1652126674,SDN
8705786,729,SUD16224,16224,"03 January 2022",2022,2,"Violence against civilians",Attack,"Misseriya Ethnic Militia (Sudan)",,4,"Civilians (Sudan)","Ngok Clan Group (Sudan); Dinka Ethnic Group (Sudan)",7,47,"Northern Africa",Sudan,Abyei,Abyei,,Abyei,9.5899,28.4486,2,"Eye Radio (South Sudan)",Regional,"Around 3 January 2022 (as reported), Misseriya militia attacked an unspecified village in the disputed Abyei area [coded to Abyei town], killing one person (implied to be Ngok Dinka, and coded as such). UNISFA peacekeepers detained at least 11 of the attackers.",1,1641863886,SDN
8706376,729,SUD16226,16226,"03 January 2022",2022,1,"Violence against civilians",Attack,"Darfur Communal Militia (Sudan)",,4,"Civilians (Sudan)","Labour Group (Sudan)",7,47,"Northern Africa",Sudan,"West Darfur",Kereneik,,Mazrub,13.5359,22.8856,2,"Radio Dabanga",National,"On 3 January 2022, armed men (assumed Darfur communal militia) attacked and looted a commercial vehicle traveling between Saraf Omra and El Geneina [coded to Mazrub, Kereneik locality, West Darfur state]. One person was killed and one other was injured.",1,1641863887,SDN
8706377,729,SUD16222,16222,"03 January 2022",2022,1,"Explosions/Remote violence",Grenade,"Unidentified Armed Group (Sudan)",,3,"Civilians (Sudan)",,7,37,"Northern Africa",Sudan,"South Kordofan","Abu Jubayhah",,"Abu Jubaiha",11.4544,31.236,1,"Radio Dabanga",National,"On 3 January 2022, unidentified gunmen suspected to be from the Rahmaniya area fired Rocket Propelled Grenade (RPG) at Umm Kadada neighborhood in Abu Jubaiha (Abu Jubayhah locality, South Kordofan state). No further details. Casualties unknown.",0,1641863887,SDN
8706386,729,SUD16225,16225,"03 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Labour Group (Sudan)",6,,,0,60,"Northern Africa",Sudan,"North Kordofan",Sheikan,,"El Obeid",13.1842,30.2167,1,"Radio Dabanga",National,"On 3 January 2022, workers of the judiciary sector staged a protest vigil in front of the buildings of the judicial authority in El Obeid (Sheikan locality, North Kordofan state). The group called for bonuses, promotions, and the raising of minimum wage. [size=no report]",0,1641863887,SDN
8706390,729,SUD16223,16223,"03 January 2022",2022,1,"Violence against civilians",Attack,"Darfur Communal Militia (Sudan)","Pastoralists (Sudan)",4,"Civilians (Sudan)","Labour Group (Sudan)",7,47,"Northern Africa",Sudan,"North Darfur","Dar As Salam",,"Abu Zerega",13.3177,25.2594,2,"Radio Dabanga",National,"On 3 January 2022, armed men raiding on camels (assumed Darfur communal militia) attacked engineers of the Ministry of infrastructure and Urban Development and the head of the Tabit court near Abu Zerega area (Dar As Salam locality, North Darfur state). Personal belongings were stolen.",0,1641863887,SDN
9283485,729,SUD17251,17251,"03 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Misseriya Ethnic Group (Sudan)",6,,,0,60,"Northern Africa",Sudan,Abyei,Abyei,,"Marial Achak",9.5256,28.6979,2,UNSC,Other,"On 3 January 2022, Misseriya youth and customary leaders demonstrated at an unspecified UNISFA base (provisionally coded to Marial Achak) in the disputed Abyei area, calling for the release of Misseriya who were arrested in connection with an attack on the Ngok Dinka at Myadol the previous day. [size=no report]",0,1653346611,SDN
8706360,729,SUD16220,16220,"02 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,Sennar,Sennar,,Sennar,13.5422,33.6172,1,"Radio Dabanga",National,"On 2 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Sennar (Sennar locality, Sennar state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1641863887,SDN
8706381,729,SUD16218,16218,"02 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"Al Jazirah","Sharg Al Jazirah",,Rufaah,14.7644,33.3598,1,"Radio Dabanga",National,"On 2 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Rufaah (Sharg Al Jazirah locality, Al Jazirah state) to reject the political agreement between the reinstated prime minister and military leaders. [size=no report]",0,1641863887,SDN
8706385,729,SUD16217,16217,"02 January 2022",2022,1,Protests,"Protest with intervention","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)",,1,16,"Northern Africa",Sudan,"Red Sea","Port Sudan",,"Port Sudan",19.6148,37.2225,1,"Radio Dabanga",National,"On 2 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Port Sudan (Port Sudan locality, Red Sea state) to reject the political agreement between the reinstated prime minister and military leaders. Police fired teargas canisters and stun grenades to disperse the crowd. Three people were injured and 20 others were arrested. [size=no report]",0,1641863887,SDN
8706387,729,SUD16213,16213,"02 January 2022",2022,1,Protests,"Excessive force against protesters","Protesters (Sudan)","Resistance Committees (Sudan); Civilians (Sudan); Journalists (Sudan)",6,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-) Abu Tira; Military Forces of Sudan (2019-) Rapid Support Forces; Military Forces of Sudan (2019-)",1,16,"Northern Africa",Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,"Radio Dabanga",National,"On 2 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in front of the republican palace in Khartoum (Khartoum state) to reject the political agreement between the reinstated prime minister and military leaders. Joint security forces (presumed police, military, Abu Tira and RSF forces) fired teargas canisters and live bullets to disperse the crowd. Several people were injured including journalists. [size=tens of thousands]",0,1641863887,SDN
8706395,729,SUD16215,16215,"02 January 2022",2022,1,Protests,"Excessive force against protesters","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-) Abu Tira; Military Forces of Sudan (2019-) Rapid Support Forces; Military Forces of Sudan (2019-)",1,16,"Northern Africa",Sudan,Khartoum,Bahri,,"Khartoum North",15.6365,32.5303,1,"Radio Dabanga",National,"On 2 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Khartoum North (Bahri locality, Khartoum state) to reject the political agreement between the former prime minister and military leaders. Joint security forces (presumed police, military, Abu Tira and RSF forces) fired teargas canisters and live bullets to disperse the crowd. Several people were injured. [size= tens of thousands]",0,1641863887,SDN
